id	name	total_bases	number	address	longitude	latitude	
143	General Perón con Poeta Joan Maragall	24	153	Avenida del General Perón 36	-3.6926510	40.4522938	
141	Orense 36	24	154	Calle Orense 36	-3.6946218	40.4548456	
139	San Germán	24	155	Calle del General YagÃ¥Ã¼e 57	-3.7009675	40.4572824	
140	Sor ángela de la Cruz	24	156	Calle Sor ángela de la Cruz 2	-3.6915330	40.4592351	
137	Castellana 164	24	157	Paseo de la Castellana 164	-3.6894151	40.4591366	
138	Alberto Alcocer	24	158	Avenida de Alberto Alcocer 22	-3.6847150	40.4585318	
173	Paseo de la Habana 63	24	159	Paseo de la Habana 63	-3.6835926	40.4543852	
172	Colombia	24	160	Calle Colombia 7	-3.6763439	40.4572466	
132	Paseo de la Florida	24	161	Paseo de la Florida 8	-3.7218482	40.4220812	
133	Metro Pirámides	24	162	Paseo de los Olmos 28	-3.7108108	40.4034076	
134	Paseo de la Esperanza	21	163	Paseo de la Esperanza 2	-3.7064516	40.4035988	
136	Paseo de las Delicias	24	164	Paseo de las Delicias 92-94	-3.6945025	40.3972616	
135	Entrada Matadero	24	165	Paseo de la Chopera 14	-3.6971829	40.3919385	
174	Segovia 26	24	166	Calle Segovia. 26	-3.7135833	40.4138333
175	Segovia 45	24	167	Calle Segovia. 45	-3.717487	40.413736
